# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesHandedOver,1784462526344000000,1784462537615000000,0
FilePageCache.pageLoads,1784462526344000000,1784462537615000000,193
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1784462526344000000,1784462537615000000,41943040
FilePageCacheLockFree.totalNativeBytesReclaimed,1784462526344000000,1784462537615000000,0
StorageLockContext.competingThreads.90P,1784462526344000000,1784462537615000000,0
FilePageCacheLockFree.totalPagesReclaimed,1784462526344000000,1784462537615000000,0
StorageLockContext.competingThreads.max,1784462526344000000,1784462537615000000,0
FilePageCacheLockFree.totalPagesWritten,1784462526344000000,1784462537615000000,0
FilePageCacheLockFree.heapBytesInUse,1784462526344000000,1784462537615000000,0
FilePageCache.maxRegisteredFiles,1784462526344000000,1784462537615000000,529
FilePageCacheLockFree.totalPagesRequested,1784462526344000000,1784462537615000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1784462526344000000,1784462537615000000,0
FilePageCacheLockFree.totalPagesAllocated,1784462526344000000,1784462537615000000,0
FilePageCacheLockFree.nativeBytesInUse,1784462526344000000,1784462537615000000,0
FilePageCache.totalPageLoadsUs,1784462526344000000,1784462537615000000,197546
MappedFileStorage.totalPagesMapped,1784462526344000000,1784462537615000000,0
FilePageCache.disposedBuffers,1784462526344000000,1784462537615000000,193
FilePageCacheLockFree.totalHeapBytesReclaimed,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1784462526344000000,1784462537615000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1784462526344000000,1784462537615000000,0
jps.global.get.library.by.name.ms,1784462526344000000,1784462537615000000,0
jps.global.initialize.library.bridges.after.loading.ms,1784462526344000000,1784462537615000000,1
jps.app.storage.content.reader.load.component.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1784462526344000000,1784462537615000000,1
workspaceModel.save.cache.to.file.ms,1784462526344000000,1784462537615000000,0
jps.save.global.entities.ms,1784462526344000000,1784462537615000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1784462526344000000,1784462537615000000,0
workspaceModel.global.updates.count,1784462526344000000,1784462537615000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1784462526344000000,1784462537615000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.instances.count,1784462526344000000,1784462537615000000,3
jps.global.get.library.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1784462526344000000,1784462537615000000,0
jps.load.initial.state.ms,1784462526344000000,1784462537615000000,13
workspaceModel.global.apply.state.to.project.builder.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1784462526344000000,1784462537615000000,0
workspaceModel.global.apply.state.to.project.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1784462526344000000,1784462537615000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1784462526344000000,1784462537615000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1784462526344000000,1784462537615000000,0
workspaceModel.do.save.caches.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1784462526344000000,1784462537615000000,0
workspaceModel.global.updates.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.entities.ms,1784462526344000000,1784462537615000000,1
